VOLT1,CURR1,RES1,TIME1,STAT1,SOUR1
-4.200040E+01,-1.085310E-05,+9.910000E+37,+0.000000E+00,2816,-4.200000E+01
-4.200000E+01,-9.401000E-07,+9.910000E+37,+1.000000E+00,2816,-4.200000E+01
-4.200000E+01,-8.336000E-07,+9.910000E+37,+2.000000E+00,2816,-4.200000E+01
-4.200000E+01,-8.174000E-07,+9.910000E+37,+3.000000E+00,2816,-4.200000E+01
-4.200000E+01,-8.073000E-07,+9.910000E+37,+4.000000E+00,2816,-4.200000E+01
-4.200000E+01,-8.009000E-07,+9.910000E+37,+5.000000E+00,2816,-4.200000E+01
-4.200000E+01,-7.963000E-07,+9.910000E+37,+6.000000E+00,2816,-4.200000E+01
-4.200000E+01,-7.935000E-07,+9.910000E+37,+7.000000E+00,2816,-4.200000E+01
-4.200000E+01,-7.915000E-07,+9.910000E+37,+8.000000E+00,2816,-4.200000E+01
-4.200000E+01,-7.912000E-07,+9.910000E+37,+9.000000E+00,2816,-4.200000E+01
-4.200000E+01,-7.851000E-07,+9.910000E+37,+1.000000E+01,2816,-4.200000E+01
-4.200000E+01,-7.886000E-07,+9.910000E+37,+1.100000E+01,2816,-4.200000E+01
-4.200000E+01,-7.833000E-07,+9.910000E+37,+1.200000E+01,2816,-4.200000E+01
-4.200000E+01,-7.806000E-07,+9.910000E+37,+1.300000E+01,2816,-4.200000E+01
-4.200000E+01,-7.801000E-07,+9.910000E+37,+1.400000E+01,2816,-4.200000E+01
-4.200000E+01,-7.779000E-07,+9.910000E+37,+1.500000E+01,2816,-4.200000E+01
-4.200000E+01,-7.768000E-07,+9.910000E+37,+1.600000E+01,2816,-4.200000E+01
-4.200000E+01,-7.745000E-07,+9.910000E+37,+1.700000E+01,2816,-4.200000E+01
-4.200000E+01,-7.721000E-07,+9.910000E+37,+1.800000E+01,2816,-4.200000E+01
-4.200000E+01,-7.737000E-07,+9.910000E+37,+1.900000E+01,2816,-4.200000E+01
-4.200000E+01,-7.712000E-07,+9.910000E+37,+2.000000E+01,2816,-4.200000E+01
-4.200000E+01,-7.709000E-07,+9.910000E+37,+2.100000E+01,2816,-4.200000E+01
-4.200000E+01,-7.703000E-07,+9.910000E+37,+2.200000E+01,2816,-4.200000E+01
-4.200000E+01,-7.706000E-07,+9.910000E+37,+2.300000E+01,2816,-4.200000E+01
-4.200000E+01,-7.717000E-07,+9.910000E+37,+2.400000E+01,2816,-4.200000E+01
-4.200000E+01,-7.707000E-07,+9.910000E+37,+2.500000E+01,2816,-4.200000E+01
-4.200000E+01,-7.709000E-07,+9.910000E+37,+2.600000E+01,2816,-4.200000E+01
-4.200000E+01,-7.679000E-07,+9.910000E+37,+2.700000E+01,2816,-4.200000E+01
-4.200000E+01,-7.669000E-07,+9.910000E+37,+2.800000E+01,2816,-4.200000E+01
-4.200000E+01,-7.651000E-07,+9.910000E+37,+2.900000E+01,2816,-4.200000E+01
